data,descricao,categoria,valor,tipo
2025-10-01,Salário,receita,3000.00,entrada
2025-10-02,Aluguel,moradia,1200.00,saida
2025-10-03,Supermercado,alimentacao,550.00,saida
2025-10-05,Netflix,lazer,55.90,saida
2025-10-07,Farmácia,saude,89.00,saida
2025-10-10,Restaurante,alimentacao,60.00,saida
2025-10-12,Uber,transporte,45.00,saida
2025-10-15,Conta de Luz,moradia,180.00,saida
2025-10-20,Academia,saude,120.00,saida
2025-10-25,Combustível,transporte,250.00,saida
2025-10-26,Conta de Agua,moradia,102.00,saida
2025-10-26,Balada,lazer,200.00,saida

